traditional,simplified,pronunciation,audio,radical,definitions,pos
下昏,下昏,e-hng,372,,晚上。|今晚。,時|時
下昏暗,下昏暗,e-hng-àm,374,,今晚、今天晚上。,時
下晝,下昼,ē-tàu,439,,下午。,時
下晝頓,下昼顿,ē-tàu-tǹg,13922,,午飯、午餐。,名
下晡,下晡,ē-poo,440,,下午。,時
下暗,下暗,e-àm,472,,晚上、今晚。,時
下本,下本,hē-pún,296,,投入本錢。|資本。,動|名
下水,下水,hā-suí,262,,內臟。雞、鴨等禽類動物的內臟。|汙水。,名|名
下水湯,下水汤,hā-suí-thng,278,,用雞、鴨等禽類動物的內臟及佐料所做成的湯品。,名
下港,下港,ē-káng,453,,指臺灣南部地方。,名
下痟,下痟,hā-siau,457,,傳統中醫對消渴症的三種辨證法之一，又稱「腎消」，症狀為多尿且傷腎水。|形容其人無用、無能。,名|形
下落,下落,hē-lo̍h,478,,去向、去處。,名
下跤,下跤,ē-kha,486,,下面、底下。,位
下跤手人,下跤手人,ē-kha-tshiú-lâng,492,,手下、下屬。從事打雜工作的部屬。,名
下輩,下辈,ē-puè,533,,晚輩、後輩。子姪輩或是輩分較低的人。,名
下頦,下颏,ē-hâi,535,,下巴。臉部嘴脣以下的部位。,名
下顎,下腭,ē-kok,559,,下巴。一般稱「下巴」為「下頦」(ē-hâi)，「下顎」多在面相當中使用。,名
下願,下愿,hē-guān,561,,發願、許願。,動
下𦜆,下𦜆,ē-ham,217,,下巴、下顎。,名
不,不,put,566,一,置於動詞或形容詞前表示否定。|名詞中綴。置於句中表示否定或選擇。,副|
不三不四,不三不四,put-sam-put-sù,606,,不正經、不像樣、不倫不類。,形
不中用,不中用,put-tiòng-iōng,618,,東西不合用、不好使用。|形容沒有才能，像廢物一樣的人。,形|形
不仁,不仁,put-jîn/put-lîn,607,,不厚道、不仁慈，沒有慈愛之心。,形
不但,不但,put-tān,665,,不只。表示前一句話尚未完結，還有承接下面的語意。,連
不動產,不动产,put-tōng-sán,715,,泛指土地及附著於土地上的定著物和改良物。,名
不孝,不孝,put-hàu,668,,對長輩不孝順。,形
不得了,不得了,put-tik-liáu,719,,了不得。形容狀況嚴重。|了不得。形容程度很深、超乎尋常。,形|形
不得已,不得已,put-tik-í,720,,無可奈何、不得不如此。,形
不才,不才,put-tsâi,602,,第一人稱的自謙之詞。也就是「我」的意思。,名
不敢當,不敢当,put-kám-tong,734,,謙讓之詞，表示承受不起、不敢接受。,熟
不時,不时,put-sî,708,,隨時、經常。無論什麼時候。,副
不服,不服,put-ho̍k,676,,心裡不服氣、不甘心。,動
不止,不止,put-tsí,620,,超出某一特定的範圍或數目。,副
不止仔,不止仔,put-tsí-á,632,,非常、相當的意思。,副
不死鬼,不死鬼,put-sú-kuí,661,,形容男性好色，不要臉。,形
不求人,不求人,put-kiû-jîn/put-kiû-lîn,669,,如意。搔癢的器具，又叫做「孫仔手」(sun-á-tshiú)、「阿孫手」(a-sun-tshiú)。|打麻將的術語。胡牌者不吃牌而自摸，謂之「門前清，不求人。」,名|名
不法,不法,put-huat,678,,不守法、違法。違反法律的意圖或者行為。,形
不滿,不满,put-buán,762,,不符合心意。,名
不答不七,不答不七,put-tap-put-tshit,738,,不三不四、不像樣。,形
不管時,不管时,put-kuán-sî,764,,隨時、任何時候。,副
不義,不义,put-gī,755,,不合道德的行為。,形
不而過,不而过,put-jî-kò/put-lî-kò,664,,但是、不過。,副
丑,丑,thiú,567,一,地支的第二位。|戲劇中表演滑稽的角色。,名|名
丑仔,丑仔,thiú-á,636,,滑稽的腳色。,名
且慢,且慢,tshiánn-bān,1377,,意指暫且停住、稍等一下。通常用在句首作發語詞。若唸作tshé-bān，則屬於戲文上的唸法。,副
世,世,sè,1302,一,三十年為一世，引申為世代。|人間。,名|名
世,世,sì,1303,一,三十年為一世，常引申為一生。|人間。,名|名
世事,世事,sè-sū,1340,,世間的種種事情。|交際往來的禮俗，婚喪喜慶的禮節。,名|名
世代,世代,sè-tāi,1330,,朝代、年代。|指經過一段很久的歲月。,名|形
世俗,世俗,sè-sio̍k,1348,,社會上流傳的風俗習慣。|世間、俗世。,名|名
世俗人,世俗人,sè-sio̍k-lâng,1350,,凡人。尋常的人、塵俗的人。|非基督徒。臺灣多數基督徒稱未信教者為世俗人。,名|名
世情,世情,sè-tsîng,1367,,世故、世態人生。指一切關於生活上的事務。,名
世界,世界,sè-kài,1355,,指地球上所有的地方或國家。|有高級、超級的形容意思。,名|形
世紀,世纪,sè-kí,1356,,計算年代的單位。歐美各國以耶穌降生的那年為紀元，每經一百年為一世紀。,量
世間,世间,sè-kan,1372,,世界上。,名
世間人,世间人,sè-kan-lâng,1373,,世人。,名
丙,丙,piánn,1304,一,天干的第三位，也指排序或等級為第三。|用來排列次序等第的用字。表示第三。,名|名
並,并,pīng,3532,一,平排、平列的。|放在否定詞之前，表示加強語氣，有反駁的意味。,副|副
並,并,phīng,3533,一,比較。|比……。|最是、最為。|倚靠在某個東西上。,動|介|副|動
个,个,ê,179,丨,個。計算單獨的人、物的單位。|指某人事物。,量|代
中,中,tìng,568,丨,合人心意。,動
中,中,tiong,569,丨,方位名。四方之中。|某一段時間。|在……裡面。|程度介於二者之間的。,位|名|名|形
中,中,tiòng,570,丨,得到。|受到。,動|動
中中仔,中中仔,tiong-tiong--á,13940,,中等、不上不下。形容中等上下，普通一般的程度、大小、品質等。,形
中人,中人,tiong-lâng,600,,居中為人介紹或作證之人。,名
中傷,中伤,tiòng-siong,745,,惡意攻擊或陷害他人。,動
中元,中元,Tiong-guân,608,,中元節。我國傳統民俗節日之一。農曆七月十五日，在這一天除了要參加廟裡為孤魂野鬼所舉辦的普渡之外，也會準備豐盛的飯菜在自家門口祭拜好兄弟，俗稱「拜門口」(pài mn̂g-kháu)。傳說如果供品太少或飯菜不夠豐盛就會遭到好兄弟的報復，所以中元節是一年之中祭品最多的節日。,名
中古,中古,tiong-kóo,640,,半新不舊。|歷史上的時代分期。多指中國自秦漢至唐宋的時期，或是指西羅馬帝國滅亡至哥倫布發現新大陸的時期，說法不一。,形|名
中和,中和,tiong-hô,673,,公正和平。|化學名詞。|城市名。位於新北市境內，以舊時的中坑、漳和二莊得名。建設上一度落後永和，自華中橋通車後，已能與永和並駕齊驅。境內名勝古蹟首推圓通寺。,形|名|名
中央,中央,tiong-ng,13644,,中間。,位
中學,中学,tiong-ha̍k,769,,指實施中等教育的學校，程度介於小學和大學之間，舊分初高兩級，期限各三年，今初級中學已經劃入國民中小學九年一貫的教育範疇內。,名
中心,中心,tiong-sim,621,,正中央的位置。|事物的核心。|掌管事物的單位、地方。,名|名|名
中意,中意,tìng-ì,751,,合人心意。,動
中指,中指,tiong-tsáinn,684,,第三根手指頭。,名
中旬,中旬,tiong-sûn,659,,每月當中的十一日至二十日。,時
中晝,中昼,tiong-tàu,722,,中午、午時。|指午餐。,時|名
中晝時,中昼时,tiong-tàu-sî,723,,中午。,時
中晝頓,中昼顿,tiong-tàu-tǹg,725,,午餐、午飯。,名
中晝飯,中昼饭,tiong-tàu-pn̄g,724,,中餐、午飯。,名
中毒,中毒,tiòng-to̍k,687,,有害的物質進入人體或動物體內，造成生物體機能障礙或死亡。,動
中用,中用,tiòng-iōng,647,,物品很好使用，容易使用。|形容人很有能力、很好差遣。,形|形
中秋,中秋,Tiong-tshiu,691,,中秋節、八月節。我國傳統民俗節日之一。農曆八月十五日，與春節、端午節並列為民間三大傳統節日。通常這天全家會團聚在一起吃月餅、吃柚子、賞月。,名
中秋節,中秋节,Tiong-tshiu-tseh/Tiong-tshiu-tsueh,693,,見【中秋】Tiong-tshiu 條。,
中秋餅,中秋饼,Tiong-tshiu-piánn,694,,月餅。一種包餡的糕餅點心，為中秋節應時的食品。,名
中立,中立,tiong-li̍p,648,,不偏袒。,動
中等,中等,tiong-tíng,736,,不高不低、普通的程度。,形
中範,中范,tiong-pān,13941,,中等的。不高不低、普通的程度。,形
中脊,中脊,tiong-tsit,713,,屋頂上頭，最高的那一根橫木。,名
中計,中计,tiòng-kè,695,,中圈套。落入計謀、圈套；遭人暗算。,動
中途,中途,tiong-tôo,728,,半路、半途。路途之中。|事情進行到一半，尚未完成時。,名|名
中醫,中医,tiong-i,775,,中國傳統的醫學。|以中醫治療病人的醫生。,名|名
中間,中间,tiong-kan,741,,指某一時間或事件發展的過程中的一部分。,位
中風,中风,tiòng-hong,697,,腦溢血、腦中風。病名。因腦血管硬化、破裂，造成腦內出血，壓迫到腦神經。往往會使病人昏迷、死亡或肢體麻木、言語行動不便。,名
串,串,tshǹg,2863,丨,計算成串物品的單位。,量
串,串,tshuàn,2864,丨,使二者連貫起來。|每次、經常、往往、總是。表示一種經常發生的狀況。|戲曲音樂的過奏、間奏。,動|副|名
串仔,串仔,tshǹg-á,2899,,鮪魚。魚名。一種常見的食用魚，屬於迴游性魚類，肉質鮮美，可製生魚片或魚罐頭。,名
串講,串讲,tshuàn-kóng,2952,,常說、老是說。,動
串通,串通,tshuàn-thong,2934,,彼此暗中勾結，讓言辭、行動能互相配合。,動
丸,丸,uân,180,丶,又小又圓的物體。|計算小而圓物體的單位。,名|量
丸仔,丸仔,uân-á,280,,丸子。團狀、丸狀的東西或食品。,名
丹,丹,tan,571,丶,精煉的藥劑。|紅色。|寺廟香爐中的香灰。,名|名|名
丹毒,丹毒,tan-to̍k,688,,病名。一種散播性鏈球菌所引起的組織炎及淋巴管炎。患部皮膚紅腫、疼痛、易蔓延，多半引起高燒、淋巴腺腫及腦膜炎等併發症。,名
丹田,丹田,tan-tiân,649,,指人肚臍下面一寸半或三寸的地方。,名
主,主,tsú,1305,丶,領導的人。|當事人、所有權人。|接待別人的人，與「賓客」相對。|基督徒信仰的信仰中心，即耶穌。,名|名|名|名
主人,主人,tsú-lâng,1323,,擺設宴席款待賓客的人。|指擁有物業產權的人。,名|名
主任,主任,tsú-jīm/tsú-līm,1332,,機關部門中，主持某事並負全部責任的人。,名
主動,主动,tsú-tōng,1363,,按照自己的行為意識來行動。,形
主婚,主婚,tsú-hun,1364,,主持婚事。,動
主婦,主妇,tsú-hū,1365,,家庭中的女主人。,名
主席,主席,tsú-si̍k,1359,,主持會議進行並維持秩序的人。|在委員制的黨政機關組織中，稱其領袖為「主席」。,名|名
主張,主张,tsú-tiunn,1366,,自我對於事物的主觀性見解或看法。|認為。,名|動
主意,主意,tsú-ì,1375,,做主。出面負責裁決。|心意、辦法。,動|名
主持,主持,tsú-tshî,1352,,主導、管理。,動
主權,主权,tsú-khuân,1385,,國家的組成要素之一。是國家至高無上的政治權力，對內具有排外的管轄權，對外則有不受他國干涉的權力。,名
主管,主管,tsú-kuán,1379,,主持事務，負責管理某一單位的人。,名
主義,主义,tsú-gī,1376,,對事物或原理的基本主張，是一種觀念和信仰的形態，可形成一股思潮或學說。,名
主要,主要,tsú-iàu,1357,,最重要的。,形
主見,主见,tsú-kiàn,1337,,意志確定的見解或看法。,名
主角,主角,tsú-kak,1338,,文藝作品或戲劇、電影等表演中的主要角色。|主要人物。,名|名
主辦,主办,tsú-pān,1381,,主持辦理。,動
主顧,主顾,tsú-kòo,1384,,購買商品的主要顧客。,名
主顧客,主顾客,tsú-kòo-kheh,13994,,主顧、常客。,名
丼,井,tôm,1306,丶,咚。東西投到井中的聲音。,聲
久,久,kú,181,丿,指時間的長久、長遠。|表示一段經過的時間。,形|名
久久,久久,kú-kú,235,,經過一段相當長久的時間。,副
久仰,久仰,kiú-gióng,307,,非常仰慕、仰慕很久了。是人際交往時初次見面的客套話。,動
久來,久来,kú--lâi,345,,久而久之。,副
久年,久年,kú-nî,13923,,多年、積年。,形
久見,久见,kiú-kiàn,336,,久違。好久不見，為久別重逢的寒暄語。,動
久長,久长,kú-tn̂g,378,,長久。時間長遠悠久。,形
久長病,久长病,kú-tn̂g-pēnn/kú-tn̂g-pīnn,382,,久病、慢性病。,名
久長病，無孝子。,久长病，无孝子。,"Kú-tn̂g pēnn, bô hàu-tsú. ",60070,,比喻久病無孝子。,
么,么,io,182,丿,最小的數字，「一」的另一種稱呼。,數
之,之,tsi,572,丿,的，表示所屬或關連性。|往某處，是比較文言的用法。|代名詞，可用以代稱人事物。,介|動|代
乍,乍,tsànn,1307,丿,炸、過油。將食物以熱油稍微炸一下。,動
乎,乎,--honnh,1308,丿,反問語助詞，表示與問話者確認的語氣。|反問語助詞，帶有調侃的意味。|感嘆詞。表示領悟的語氣詞。,助|助|嘆
乏,乏,ha̍t,1309,丿,不足。缺少。,形
乖,乖,kuai,3534,丿,形容懂事、順從。|彆扭、性情怪異。,形|形
乖巧,乖巧,kuai-khá,3554,,形容人聰明伶俐，討人喜歡。,形
乙,乙,it,45,乙,天干的第二位。|次序或等級屬於第二的。,名|形
九,九,káu,48,乙,數字。|形容多數。,數|形
九,九,kiú,49,乙,釋義參見【九】káu 條。,
九孔,九孔,káu-kháng,84,,貝類。貝葉為橢圓形，上面有九個上下的吸水孔，喜歡棲息在數公尺深的岩礁地形中。有野生採集和人工養殖兩種來源，可以做為海鮮食材，是臺灣東北角、東部海岸及澎湖縣等岩岸地區的著名水產養殖貝類。,名
九層塔,九层塔,káu-tsàn-thah,157,,草本植物。花的顏色有白色、紫色等，因為花苞為九層狀，尖端排列成九行，所以稱為「九層塔」。其嫩莖跟葉子可食用，具有特殊香氣。,名
九月颱，無人知。,九月台，无人知。,"Káu-gue̍h thai, bô lâng tsai. ",60038,,比喻天有不測風雲，人有旦夕禍福。,
九芎仔,九芎仔,kiú-kiong-á,111,,九芎樹。木本植物。木質堅韌，可以拿來做手杖，根部可以拿來入藥，治瘧疾。,名
乞,乞,khit,183,乙,向別人求討東西。,動
乞的,乞的,khit--ê,375,,養子女。,名
乞食,乞食,khit-tsia̍h,404,,乞丐、叫花子。靠要錢、要飯過活的人。,名
乞食下大願。,乞食下大愿。,Khit-tsia̍h hē tuā guān. ,60073,,嘲笑人明明沒有能力，卻要許下大願，是一種不切實際的作法。,
乞食也有三年好運。,乞食也有三年好运。,Khit-tsia̍h iā ū sann nî hó-ūn. ,60072,,比喻風水輪流轉。,
乞食命,乞食命,khit-tsia̍h-miā,407,,指生來就得靠要錢、要飯過日子的命運。,名
乞食琴,乞食琴,khit-tsia̍h-khîm,409,,月琴。見【月琴】gue̍h-khîm 條。,
乞食趕廟公。,乞食赶庙公。,Khit-tsia̍h kuánn biō-kong. ,60075,,比喻喧賓奪主。,
乞食身，皇帝喙。,乞食身，皇帝喙。,"Khit-tsia̍h sin, hông-tè tshuì. ",60074,,形容人打腫臉充胖子。說話與身份不配，比喻吹牛講大話。,
乞食頭,乞食头,khit-tsia̍h-thâu,410,,丐頭、乞丐頭子。乞丐的首領。,名
也,也,iā,184,乙,亦。表示相同關係。,副
也好,也好,iā hó,315,,也好、也行。,副
也是,也是,iā sī,393,,還是、也是。|也是。,副|副
也著箠，也著糜。,也着棰，也着糜。,"Iā tio̍h tshuê, iā tio̍h muê. ",60071,,也要箠檚，也要粥糜。比喻父母在教養小孩的時候要賞罰並重、教養兼顧。,
乳名,乳名,jú-miâ/lú-miâ,3560,,小名、奶名。,名
乾,干,kuann,6928,乙,風乾脫水後形成的乾燥食品。,名
乾,干,kan,6929,乙,乾燥。沒有水分。|乾杯。將杯子裡的酒喝光。,形|動
乾,干,khiân,6930,乙,術數用語。易經八卦的卦名之一，代表天、陽的意思。或是六十四卦名之一，象徵君子應自強不息，努力永不懈怠的意思。|代表陽性、男性的。,名|形
